Rank,Name,Country,Sector,CAGR,Revenue2020,Revenue2017,Employees2020,Employees2017,FoundingYear,Change % in Employees
326,BETTERTRUST,Germany,Advertising,80.05,4981938,853561,19,5,2012,-280.0
327,Banale,Italy,Ecommerce,79.96,2051370,352000,10,3,2014,-233.33333333333334
328,Maatwerk Online,The Netherlands,Sales & Marketing,79.78,1673382,287985,17,5,2013,-240.0
329,Les constructeurs du bois,France,Property,79.67,5087783,877275,6,1,2011,-500.0
330,Esserre Pharma,Italy,Pharmaceuticals,79.61,2556640,441260,10,6,2013,-66.66666666666666
331,OnBuy.com,UK,Ecommerce,79.55,2720319,473344,18,8,2014,-125.0
332,Gojob,France,Support Services,79.53,40546000,7007000,108,27,2015,-300.0
333,Newroom,Germany,Retail,79.09,3669217,638739,10,6,2016,-66.66666666666666
334,Christmas the Original,Italy,Retail,79.09,1994200,347190,9,3,2016,-200.0
335,Dimaxbau,Germany,Construction,78.96,2003989,349641,16,5,2016,-220.00000000000003
336,Comnovis IT,Germany,Technology,78.8,1900000,332372,9,2,2013,-350.0
337,Die Direktkontakter,Germany,Support Services,78.8,2818000,493000,8,4,2016,-100.0
338,Mega Trasporti,Italy,Transport,78.67,18168170,3185180,400,30,2010,-1233.3333333333335
339,LeHibou,France,Technology,78.65,13816792,2423113,40,9,2014,-344.44444444444446
340,Stufe A Pellet Italia,Italy,Interiors,78.61,3598050,631500,13,3,2014,-333.33333333333337
341,Aquis Exchange,UK,Financial Services,78.6,12824155,2267165,46,31,2012,-48.38709677419355
342,Chattermill,UK,Technology,78.51,2306045,408336,50,8,2015,-525.0
343,SchönerTel,Germany,Construction,78.44,16388546,2884392,45,10,2016,-350.0
344,Global Work,Italy,Telecoms,78.42,3174000,558820,57,8,2011,-612.5
345,allygatr,Germany,Support Services,78.2,1914500,338300,9,1,2012,-800.0
346,Cru Wine,UK,Food & Beverage,78.19,9235946,1644134,14,3,2013,-366.66666666666663
347,Abc Rent,Italy,Automobiles,77.85,21818000,3878370,8,5,2004,-60.0
348,Superior Wellness,UK,Personal & Household Goods,77.7,54150622,9719653,57,20,2011,-185.0
349,Schrott24,Austria,Waste management & recycling,77.67,14641523,2610679,12,3,2016,-300.0
350,Mazzoni Etech,Italy,Industrial Goods,77.5,2344440,419240,14,3,2017,-366.66666666666663
351,Berdugo Immobilier,France,Property,77.38,15049845,2696485,6,4,1996,-50.0
352,Nova rent,Lithuania,Industrial Goods,77.18,8900000,1600000,37,9,2016,-311.11111111111114
353,Rouvy,Czech Republic,Games industry,77.1,4058269,751071,38,13,2013,-192.30769230769232
354,Business Analysis & Legal Expertise - B.A.L.E.,Italy,Management Consulting,76.78,2943020,532690,4,3,2015,-33.33333333333333
355,JMB,Poland,Energy,76.75,70179000,12709000,381,172,2000,-121.51162790697674
356,NOCNOC,France,Travel & Leisure,76.61,1596167,289766,13,2,2016,-550.0
357,CrowdProperty,UK,Fintech,76.43,2941537,539486,33,5,2013,-560.0
358,Tutos’Me,France,Education,76.28,4989872,910963,42,4,2015,-950.0
359,Studio Eko’,Italy,Management Consulting,76.17,1740660,318370,10,4,2011,-150.0
360,Beings,UK,Technology,75.92,1881768,348129,7,2,2010,-250.0
361,dmrgroupltd.com,Poland,Chemicals & Pharmaceuticals,75.78,7050124,1418769,6,3,2013,-100.0
362,Ice Telecommunications Ltd,UK,Telecoms,75.73,16067551,2982238,119,35,2014,-240.0
363,Gallas Group,Italy,Support Services,75.62,4640710,856790,95,18,2012,-427.77777777777777
364,Etracom,Italy,Ecommerce,75.4,22952660,4253600,10,4,2010,-150.0
365,Xalient,UK,Technology,75.36,26199717,4893654,88,38,2015,-131.57894736842107
366,Labevolution,Italy,Health,75.27,7264130,1349250,30,5,2009,-500.0
367,Kuadra,Italy,Interiors,74.92,3400580,635400,20,9,2015,-122.22222222222223
368,Kyo Electric,Spain,Telecoms,74.7,5402302,1013181,8,3,2014,-166.66666666666669
369,SoPost,UK,Technology,74.57,7825138,1481398,32,13,2012,-146.15384615384613
370,S.F.R.E.,Italy,Construction,74.55,3004290,564910,44,7,2016,-528.5714285714286
371,Sportstech,Germany,Retail,74.45,108500233,20436426,262,60,2012,-336.6666666666667
372,Opéra Energie,France,Energy,74.06,11218211,2127151,98,40,2014,-145.0
373,RouteNote,UK,Technology,74.06,38428858,7339330,76,28,2010,-171.42857142857142
374,Doctify,UK,Health,73.87,2409255,461671,40,26,2016,-53.84615384615385
375,Fruugo,UK,Ecommerce,73.86,21793194,4176347,67,30,2008,-123.33333333333334
376,Insidemarketing,Germany,Technology,73.44,2971846,569646,15,7,2012,-114.28571428571428
377,Falzi,Italy,Waste management & recycling,73.29,2037320,391540,11,2,2013,-450.0
378,Atrys Health,Spain,Health,73.27,31396438,6035116,504,62,2015,-712.9032258064516
379,Il Cantiere Costruzioni,Italy,Construction,73.25,4297790,826430,4,1,2016,-300.0
380,Soorce,Germany,Support Services,73.13,15639618,3013629,22,13,2004,-69.23076923076923
381,Sortlist,Belgium,Technology,73.08,3396000,655000,85,26,2013,-226.9230769230769
382,VirtusLab,Poland,Technology,72.93,12468548,2635420,234,90,2010,-160.0
383,SkalHuset.se,Sweden,Ecommerce,72.83,7342811,1454711,16,5,2012,-220.00000000000003
384,VIPINO,Germany,Retail,72.72,11067681,2148122,26,6,2013,-333.33333333333337
385,GEA Service,Italy,Waste management & recycling,72.32,6673050,1304060,133,30,2015,-343.3333333333333
386,Gellify,Italy,Technology,72.31,5581540,1090920,62,12,2016,-416.6666666666667
387,Billion Dollar Boy,UK,Advertising,72.28,13085484,2577297,92,42,2014,-119.04761904761905
388,Westrafo,Italy,Energy,71.75,22072700,4356500,58,19,2014,-205.26315789473685
389,Goboony,The Netherlands,Travel & Leisure,71.56,1718442,340309,21,10,2015,-110.00000000000001
390,Multiservice Ambrosiana,Italy,Support Services,71.47,4266770,846360,180,60,2016,-200.0
391,b&c systems,Germany,Construction,71.35,5339538,1061327,65,16,2016,-306.25
392,S&G Solar,Bulgaria,Energy,71.29,3980920,792093,10,31,2014,67.74193548387096
393,BITTNET,Romania,Management Consulting,71.24,22436395,4641712,120,40,2007,-200.0
394,Ibanfirst,Belgium,Fintech,71.1,12062697,2408187,204,47,2013,-334.0425531914894
395,UPLINK Network,Germany,Telecoms,70.98,28140196,5629906,46,20,2013,-130.0
396,BASE ORGANIC FOOD,France,Agricultural Commodities,70.93,10802997,2163006,25,6,2015,-316.66666666666663
397,CurrentBody,UK,Ecommerce,70.87,38002441,7671961,74,20,2009,-270.0
398,Apex Aero,UK,Aerospace & Defence,70.85,3812785,770031,6,1,2016,-500.0
399,Startup Development House,Poland,Technology,70.85,1514111,303615,59,25,2016,-136.0
400,Gruppo Gheron,Italy,Health,70.79,58422800,11728040,806,8,2010,-9975.0
401,DyFlowing,Italy,Technology,70.65,1696320,341370,30,5,2016,-500.0
402,Digital Masters,Germany,Advertising,70.6,3019110,608053,40,22,2016,-81.81818181818183
403,Prusseit Auto-Outlet,Germany,Automobiles,70.37,2576602,520998,17,3,2017,-466.6666666666667
404,Techouse,Norway,Energy,70.37,31852584,6863940,72,30,2002,-140.0
405,SVS,Italy,Construction,70.22,9694310,1965560,8,3,2016,-166.66666666666669
406,TelcoSwitch Group,UK,Telecoms,69.91,7519236,1543824,86,18,2017,-377.77777777777777
407,BOTHE-REIMANN Tortechnik,Germany,Construction,69.91,2277791,464354,8,3,2017,-166.66666666666669
408,e-Pol / Personalizzalo,Italy,Ecommerce,69.83,16089160,3284400,12,8,2012,-50.0
409,Riluxa,Spain,Interiors,69.82,3428464,700007,18,3,2016,-500.0
410,Modalis,France,Transport,69.8,19169652,3915724,8,6,2002,-33.33333333333333
411,OLYMPP,France,Technology,69.71,5512134,1127652,27,8,2016,-237.5
412,Zeck Fishing,Germany,Retail,69.35,6806664,1401463,25,4,2013,-525.0
413,StorPool Storage,Bulgaria,Technology,69.29,3306191,681460,25,16,2011,-56.25
414,Vimcar,Germany,Technology,69.09,14674011,3035269,164,72,2013,-127.77777777777777
415,JOANNES DISTRIBUTION SAS,France,Retail,68.83,7064900,1468200,8,5,2011,-60.0
416,Sourcing Force,France,Technology,68.78,12806965,2663699,30,8,2011,-275.0
417,Schalttechnik Nord,Germany,Technology,68.7,12489032,2601157,60,16,2000,-275.0
418,DGC,Germany,Cyber Security,68.57,1577296,329298,27,5,2015,-440.00000000000006
419,Superprof,France,Education,68.2,10168214,2136626,202,28,2013,-621.4285714285714
420,Improveasy,UK,Management Consulting,68.15,26446798,5602132,48,12,2011,-300.0
421,Viaréno,France,Construction,68.13,6937737,1459655,30,8,2014,-275.0
422,CMT,Slovakia,Waste management & recycling,67.95,1951232,411858,19,10,2013,-90.0
423,Rets,Poland,Property,67.91,5206032,1201964,97,31,2014,-212.9032258064516
424,MUBI,UK,Media,67.87,18356623,3954351,104,33,2007,-215.15151515151513
425,Dynamicom Education,Italy,Education,67.86,9018160,1906790,27,3,2001,-800.0
426,Touch4IT,Slovakia,Technology,67.69,2064141,437747,47,25,2015,-88.0
427,TattaHome.com,Italy,Interiors,67.5,2800000,595800,8,4,1986,-100.0
428,Speechmatics,UK,Technology,67.27,7161145,1541070,90,37,2006,-143.24324324324326
429,Samy Road,Spain,Advertising,67.19,19458114,4163750,118,20,2012,-490.00000000000006
430,Prometeo,Italy,Support Services,67.16,3580500,766510,9,6,2006,-50.0
431,Dialectica,UK,Management Consulting,67.08,17078846,3688264,260,65,2015,-300.0
432,Wolf & Badger,UK,Ecommerce,67.01,11604670,2508842,62,32,2009,-93.75
433,Eco CO2,France,Support Services,66.93,9220216,1982251,94,28,2009,-235.71428571428572
434,Lakógép Kft.,Hungary,Construction,66.9,25335854,6328462,20,3,2011,-566.6666666666667
435,Beyer Betonwaren,Germany,Construction,66.9,2062749,443694,20,9,2017,-122.22222222222223
436,Fill Up Média,France,Media,66.61,4999802,1081079,42,12,2011,-250.0
437,Zara Imballaggi Fabriano,Italy,Industrial Goods,66.6,2297210,496790,6,4,1984,-50.0
438,CD Projekt,Poland,Games industry,66.52,468257487,110835763,1177,744,1994,-58.1989247311828
439,VPACE Bikes,Germany,Retail,66.46,2643580,573145,10,1,2015,-900.0
441,Bunker Partner,Estonia,Energy,66.45,101726265,22060642,7,2,2015,-250.0
442,Tikamoon,France,Ecommerce,66.31,56122322,12200275,130,40,2006,-225.0
443,S.T.A.R. Digital,Croatia,Advertising,66.31,3211868,699907,8,10,2013,20.0
444,Funding Options,UK,Fintech,66.26,5922043,1297717,62,29,2011,-113.79310344827587
445,Isimed,Italy,Health,66.26,4828920,1050660,14,8,2014,-75.0
446,"Sonar, SonarQube, SonarCloud, SonarLint",Switzerland,Technology,66.14,83632640,16861349,195,50,2008,-290.0
447,Scherer,Germany,Support Services,66.11,4285766,934994,30,4,2016,-650.0
448,Mycroclean Italia,Italy,Support Services,66.0,3366730,736000,24,14,2002,-71.42857142857143
449,Piscor,Italy,Ecommerce,65.86,4842410,1061360,16,8,2015,-100.0
450,Marwincar,Italy,Automobiles,65.85,5083140,1114200,3,1,2016,-200.0
451,Brighton & Hove Albion Football Club,UK,Travel & Leisure,65.79,148505285,32824451,1038,288,1993,-260.41666666666663
452,INPE Transport,Bulgaria,Transport,65.78,1816274,398676,60,5,2015,-1100.0
453,RTB House,Poland,Technology,65.76,191601076,45981552,773,266,2013,-190.6015037593985
454,Obiz,France,Media,65.55,15377000,3389300,38,27,2010,-40.74074074074074
455,VmWay,Italy,Technology,65.22,15901220,3525720,70,33,2012,-112.12121212121211
456,Legimi,Poland,Media,65.21,7007093,1698358,12,8,2009,-50.0
457,MSG Beauty,Germany,Retail,65.2,2910737,645633,11,5,2011,-120.0
458,Leogra Trading,Germany,Retail,65.11,5078464,1128243,11,4,2014,-175.0
459,Benefind,Italy,Technology,64.8,2262490,505520,32,10,2012,-220.00000000000003
460,AB Oil & Gas Service,Italy,Support Services,64.74,2310000,516640,13,5,2017,-160.0
461,Mailtrack,Spain,Technology,64.41,3445698,775341,23,14,2013,-64.28571428571429
462,Bumper,UK,Fintech,64.25,3394214,771504,33,15,2013,-120.0
463,OTL - Online Trainer,Germany,Health,64.21,6607564,1492190,46,22,2015,-109.09090909090908
464,Macingo Technologies,Italy,Support Services,64.18,1601000,361790,17,9,2014,-88.88888888888889
465,MYCS,Germany,Retail,63.92,39355846,8935361,210,120,2014,-75.0
466,Audience Serv,Germany,Advertising,63.8,6107018,1389534,92,23,2008,-300.0
467,Start,Italy,Telecoms,63.8,3769100,857590,8,4,2012,-100.0
468,MvH Media,The Netherlands,Sales & Marketing,63.73,2391654,544943,29,8,2010,-262.5
470,Parcel Compare,UK,Transport,63.55,9085936,2091995,8,4,1998,-100.0
471,Ames Centro Polidiagnostico Strumentale,Italy,Health,63.54,40391360,9235130,81,71,1979,-14.084507042253522
472,Arcadia Italia,Italy,Energy,63.52,3249140,743130,6,1,2016,-500.0
473,Zia Lucia,UK,Restaurants,63.45,4853930,1119494,43,16,2016,-168.75
474,Travaglini Costruzioni,Italy,Construction,63.05,4603740,1062010,37,16,1952,-131.25
475,Versa Design Zycle,Spain,Technology,62.86,9501888,2199640,81,10,2008,-710.0
476,MAUCHER CONSULT,Germany,Construction,62.84,1952000,452091,15,5,2016,-200.0
477,Ayes,Italy,Technology,62.76,10827070,2510930,137,51,2015,-168.62745098039215
478,BrandUp Group,Italy,Advertising,62.75,2718640,630660,5,1,2016,-400.0
479,Opyn,Italy,Financial Services,62.58,4168220,969930,19,11,2012,-72.72727272727273
480,VAR Capital,UK,Financial Services,62.57,2132001,499815,8,4,2014,-100.0
481,StoryTerrace,UK,Technology,62.49,2843048,667467,25,9,2017,-177.77777777777777
482,Blubit,Slovenia,Technology,62.48,2964852,691140,22,8,2009,-175.0
483,ZEN’UP,France,Insurance,62.44,1891361,441271,9,9,2014,0.0
484,Lörcher Bauunternehmen,Germany,Construction,62.43,3932792,917735,25,17,2001,-47.05882352941176
485,Barcode Architects,The Netherlands,Architecture,62.33,4851997,1134256,62,23,2010,-169.56521739130434
486,TOP CHALEUR,France,Retail,62.17,7260096,1702165,27,9,2002,-200.0
487,Seingim,Italy,Construction,62.12,13479380,3163540,160,52,1999,-207.6923076923077
488,Amphibian Scaffolding,UK,Construction,62.08,4011415,948813,49,21,2008,-133.33333333333331
489,Beliani,Liechtenstein,Ecommerce,62.06,93438770,20298288,551,205,2009,-168.78048780487805
490,Hatstore,Sweden,Ecommerce,62.03,17453187,4195789,45,17,2011,-164.70588235294116
491,Carpenteria Martino,Italy,Construction,62.0,9719750,2286000,27,19,2006,-42.10526315789473
492,CapitalOnTap,UK,Fintech,61.98,82238372,19489369,147,61,2012,-140.98360655737704
493,Netguru,Poland,Technology,61.89,34677235,8933769,637,199,2008,-220.1005025125628
494,Fazio,Italy,Retail,61.65,3375810,799170,7,6,2014,-16.666666666666664
495,Grillfürst,Germany,Retail,61.61,38599408,9145411,84,37,2010,-127.02702702702702
496,Dealernet,Italy,Automobiles,61.46,22704300,5394020,18,14,2017,-28.57142857142857
497,Alpha Real Estate,Germany,Property,61.33,119161137,28378990,57,14,2013,-307.14285714285717
498,Appwise,Belgium,Technology,61.22,4546110,1084812,74,12,2013,-516.6666666666667
499,Convert Group,Greece,Technology,61.18,2789489,666118,55,17,2014,-223.52941176470588
500,Revolution Race,Sweden,Ecommerce,61.12,89332521,21841341,65,17,2013,-282.3529411764706
501,GONG Galaxy,France,Retail,61.09,11320706,2708258,40,11,2009,-263.6363636363636
502,GDR Costruzioni,Italy,Construction,61.09,1573480,376440,8,8,2011,0.0
503,Emporio Elettrico,Italy,Ecommerce,61.07,1979050,473640,4,1,2015,-300.0
504,Exscientia AI,UK,Technology,61.04,10807048,2606296,87,15,2012,-480.0
505,Featurespace,UK,Fintech,60.84,23501473,5688822,324,128,2005,-153.125
506,XL ENERGIES,France,Energy,60.72,8358760,2013403,11,3,2016,-266.66666666666663
507,Claveria,Spain,Support Services,60.64,4715363,1137450,43,20,2015,-114.99999999999999
508,Timberagents,Germany,Retail,60.57,5302985,1280989,4,3,2010,-33.33333333333333
509,fermeture econ’home,France,Construction,60.42,1862632,451196,30,2,2012,-1400.0
510,NRSE,Sweden,Management Consulting,60.05,3268813,815449,70,20,2014,-250.0
511,SIMWERT,Germany,Telecoms,59.93,26386701,6450759,21,16,2011,-31.25
512,Flex Legal,UK,Law,59.88,4319146,1064498,24,2,2015,-1100.0
513,Documaster,Norway,Technology,59.85,3328791,868552,41,15,2010,-173.33333333333334
514,Immo-Team Allgäu,Germany,Construction,59.84,21974565,5381108,4,1,2014,-300.0
515,creditshelf,Germany,Financial Services,59.74,4899200,1201900,57,17,2014,-235.29411764705884
516,Blife,Italy,Food & Beverage,59.62,4133980,1016480,10,7,2016,-42.857142857142854
517,Nohup,Italy,Technology,59.57,4785480,1177860,18,9,2004,-100.0
518,Noctuai,Poland,Technology,59.56,2443117,657377,56,17,2012,-229.41176470588235
519,Ares,Germany,Industrial Goods,59.5,14000000,3450000,96,47,2013,-104.25531914893618
520,Moonpig Group,UK,Ecommerce,59.49,411390748,102139979,399,242,2000,-64.87603305785123
521,Wealth Club,UK,Financial Services,59.38,6774867,1685348,22,15,2016,-46.666666666666664
522,FACTORY,France,Property,59.3,12609000,3119000,25,4,2016,-525.0
523,Beck Ingredients,Spain,Health,59.24,7532293,1865319,6,2,2016,-200.0
524,Mentors & Partners Group,Hungary,Management Consulting,59.19,1822227,524552,3,3,2010,0.0
525,SB Supply,The Netherlands,Ecommerce,59.19,4363977,1081844,9,4,2011,-125.0
526,Mediaboard,Czech Republic,Media,59.09,2243594,572798,24,8,2015,-200.0
527,DW TRANS,France,Transport,59.06,9485173,2357096,80,20,2012,-300.0
528,NACELEXPERT,France,Industrial Goods,58.94,2727392,679247,4,2,2006,-100.0
529,keylight,Germany,Technology,58.93,3499555,871779,31,14,2015,-121.42857142857142
530,Technacy,Italy,Technology,58.92,3059440,762200,13,3,2011,-333.33333333333337
531,Genoskin,France,Chemicals & Pharmaceuticals,58.87,2810120,700823,25,12,2011,-108.33333333333333
532,Payment Assist,UK,Fintech,58.41,5993895,1518678,21,12,2013,-75.0
533,my Boo,Germany,Retail,58.4,4706000,1184000,65,14,2013,-364.2857142857143
534,84codes.com,Sweden,Technology,58.4,12120207,3118698,25,11,2012,-127.27272727272727
535,KLG LIQUIDA,Germany,Chemicals & Pharmaceuticals,58.38,5034595,1267224,20,6,2013,-233.33333333333334
536,Ignimission,France,Technology,58.35,2280542,574323,35,8,2011,-337.5
537,Adamant BioNRG,Italy,Energy,58.35,117997000,29718000,7,4,2013,-75.0
538,Xplort,UK,Interiors,58.33,2252358,571513,5,2,2015,-150.0
539,Bambridge Accountants,UK,Financial Services,58.3,3368822,855283,12,7,2010,-71.42857142857143
540,G2Park,Slovakia,Property,58.2,2902148,732924,13,7,2016,-85.71428571428571
541,Pelizzari Studio,Italy,Architecture,58.2,2625660,663100,5,2,2014,-150.0
542,Postex,The Netherlands,Technology,57.86,5248908,1334213,9,4,2014,-125.0
543,Consorzio Stabile Ambientemilia,Italy,Waste management & recycling,57.57,9752760,2492730,5,5,2013,0.0
544,Yocabe’,Italy,Ecommerce,57.53,3293860,842600,12,6,2016,-100.0
545,Chez Nestor,France,Property,57.52,8559263,2189720,33,19,2012,-73.68421052631578
546,Mint Italia,Italy,Transport,57.22,2415110,621500,9,2,2016,-350.0
547,Sendcloud,The Netherlands,Ecommerce,57.2,81775452,21052232,233,27,2012,-762.9629629629629
548,Datakey Software Engineering,Italy,Technology,57.16,1898000,488940,10,6,2008,-66.66666666666666
549,Metaminds,Romania,Cyber Security,57.08,32103084,8605113,41,21,2015,-95.23809523809523
550,Time Vision,Italy,Education,57.05,2793340,721090,29,11,2012,-163.63636363636365
551,Werksräder24,Germany,Automobiles,57.03,14896000,3847000,36,16,2013,-125.0
552,FOD Mobility Group,UK,Technology,56.98,13309945,3465675,70,35,2008,-100.0
553,Selferg,Italy,Energy,56.78,2050130,531960,60,10,2007,-500.0
554,Poppri Fashion Auctions,Lithuania,Ecommerce,56.7,13028856,3386414,94,45,2012,-108.88888888888889
555,Vizion Network,UK,Automobiles,56.66,117817156,30862156,194,156,2008,-24.358974358974358
556,Beyond Law Group*,UK,Law,56.61,8233616,2159010,66,27,2017,-144.44444444444443
557,EDA Warehousing,Germany,Transport,56.6,4570000,1190000,14,13,2014,-7.6923076923076925
558,BPV,Germany,Telecoms,56.5,22704275,5923571,90,45,2013,-100.0
559,Ultra Premium Direct,France,Agricultural Commodities,56.49,20779890,5422583,81,29,2013,-179.31034482758622
560,AFR-IX telecom,Spain,Telecoms,56.46,9933867,2593649,24,12,2013,-100.0
561,Blue energy,Poland,Cyber Security,56.42,4527970,1293181,44,28,2010,-57.14285714285714
562,C’JUSTE PARIS,France,Retail,56.41,2404398,628388,15,5,2013,-200.0
563,SOS-accessoire,France,Ecommerce,56.29,14690408,3848262,44,13,2007,-238.46153846153845
564,Hannes König,Germany,Construction,56.21,8750671,2295632,27,18,2017,-50.0
565,ZANATTA media group,Germany,Advertising,56.13,8383859,2202906,9,6,2007,-50.0
566,Wastepack,UK,Waste management & recycling,56.1,22373295,5924389,20,18,1997,-11.11111111111111
567,Radar Consulting Italia,Italy,Support Services,55.92,1580450,416960,17,7,2010,-142.85714285714286
568,Agriconomie,France,Agricultural Commodities,55.86,37248117,9838779,53,32,2014,-65.625
569,AnyTech365,Spain,Technology,55.49,18743704,4985758,364,187,2014,-94.6524064171123
570,Cladspray Solutions,UK,Construction,55.48,1863819,499484,12,4,2013,-200.0
571,iM Global Partner,France,Financial Services,55.35,31463692,8392541,50,10,2015,-400.0
572,Confinvest,Italy,Precious metals,55.3,41130000,10982110,6,2,1983,-200.0
573,Ethic Technology,France,Technology,55.24,8340824,2229273,3,2,2012,-50.0
574,Bomax,Italy,Telecoms,55.15,71290680,19088830,7,6,2001,-16.666666666666664
575,KK-Trade,Germany,Retail,55.1,4383254,1174770,15,4,2017,-275.0
576,Marsapet,Germany,Retail,55.09,3960200,1061642,26,4,2015,-550.0
577,Gruppo Tera,Italy,Ecommerce,55.02,20222750,5428300,16,8,2015,-100.0
578,CodicePlastico,Italy,Technology,54.97,3068430,824450,14,7,2009,-100.0
579,Tremend,Romania,Technology,54.96,20679155,5772716,426,185,2005,-130.27027027027026
580,Doofinder,Spain,Technology,54.94,6590434,1771758,61,17,2010,-258.8235294117647
581,Hostinger,Lithuania,Technology,54.92,25860664,6955394,780,80,2004,-875.0
582,Catalyx,Switzerland,Sales & Marketing,54.9,6540543,1627160,39,9,2013,-333.33333333333337
583,Harness Code,Bulgaria,Sales & Marketing,54.78,2223308,599612,9,6,2016,-50.0
584,Nanoprom Chemicals,Italy,Chemicals & Pharmaceuticals,54.76,2779910,749940,17,5,2014,-240.0
585,Elite,Spain,Construction,54.72,10060550,2716240,49,27,2012,-81.48148148148148
586,AppUnite,Poland,Technology,54.53,4424063,1310532,119,26,2012,-357.69230769230774
587,Eskalia et Nakupenda,France,Retail,54.52,1515414,410775,7,2,2006,-250.0
588,LGX Logistics,Germany,Transport,54.42,8070059,2191733,12,3,2006,-300.0
589,Polipop,Portugal,Industrial Goods,54.41,3351671,910392,22,11,2015,-100.0
590,StampaSi,Italy,Ecommerce,54.4,2543820,691110,10,1,2016,-900.0
591,CAM,Italy,Industrial Goods,54.4,12280490,3336600,67,45,1984,-48.888888888888886
592,Plug In Digital,France,Media,54.35,13767602,3743740,37,12,2012,-208.33333333333334
593,Predica,Poland,Technology,54.29,17589082,5233937,241,82,2009,-193.90243902439025
594,Ocean Transport,Spain,Transport,54.23,4783846,1304073,19,2,2009,-850.0
595,Serinus,UK,Energy,54.08,19651446,5474802,75,103,1997,27.184466019417474
596,DEMV Deutscher Maklerverbund,Germany,Financial Services,53.87,5012841,1375943,50,20,2009,-150.0
597,STI Norland,Spain,Energy,53.74,199822150,54990779,221,53,1996,-316.9811320754717
598,HD Elektrotechnik,Germany,Technology,53.73,4207672,1158042,76,27,2011,-181.4814814814815
599,Engenie Group,Italy,Technology,53.63,2025040,558480,9,1,2017,-800.0
600,Groupe N.A.T,France,Support Services,53.46,4180122,1156596,64,25,2016,-156.0
601,La Sarraz Pictures,Italy,Media,53.39,1513710,419430,5,2,2015,-150.0
602,Smart-Planet,Germany,Retail,53.29,4598207,1276483,9,5,2016,-80.0
603,Sidea Group,Italy,Management Consulting,53.29,2429590,674560,49,8,2015,-512.5
604,COUTEAUJAPONAIS.COM,France,Retail,53.24,4579102,1272558,17,5,2004,-240.0
605,PHYSIDIA,France,Health,53.21,16746545,4656191,58,20,2010,-190.0
606,Horando Deutschland,Germany,Retail,53.17,8111269,2257390,3,2,2013,-50.0
607,"Diablochairs, Jan Nowak",Poland,Ecommerce,53.14,21520495,6549376,79,22,2004,-259.09090909090907
608,Parkster,Sweden,Technology,53.11,55139984,15711602,28,16,2011,-75.0
609,BIOTYFULL,France,Ecommerce,53.1,20248436,5642145,13,5,2015,-160.0
610,Bioksan,Spain,Food & Beverage,53.02,5914732,1650756,51,14,2014,-264.2857142857143
611,Trippel,Norway,Support Services,52.98,3057807,910070,118,37,1999,-218.9189189189189
612,Yourparkingspace Limited,UK,Technology,52.92,13863431,3904618,32,15,2013,-113.33333333333333
613,Carslift,France,Automobiles,52.89,2226659,622989,35,1,2012,-3400.0
614,Zimmerei Nordmann,Germany,Construction,52.89,2074577,580537,11,5,2009,-120.0
615,SI Silicone Innovation,Germany,Industrial Goods,52.88,3640511,1018843,40,20,2015,-100.0
616,A.U.E. Genc Warenhandels-UG,Germany,Retail,52.82,19890000,5573000,12,8,2010,-50.0
617,MGvision,Italy,Advertising,52.66,4010560,1127170,18,10,2010,-80.0
618,New General Service,Italy,Support Services,52.56,1539360,433540,26,13,2015,-100.0
619,ANDRE RENOVATION,France,Construction,52.54,11594389,3266703,41,15,2010,-173.33333333333334
620,M.D.G. Components Unipersonale,Italy,Industrial Goods,52.46,2283970,644440,14,10,2017,-40.0
621,Amco-Bulgaria,Bulgaria,Retail,52.43,6298606,1778274,22,5,2011,-340.0
622,Symprove,UK,Personal & Household Goods,52.42,12298843,3498275,39,16,2005,-143.75
623,Tecknuovo,UK,Technology,52.39,26273556,7477852,22,10,2015,-120.0
624,Platform.sh,France,Technology,52.36,22077678,6242232,217,62,2010,-250.0
625,ISG Express Logistik,Germany,Transport,52.36,5822692,1646307,46,5,2011,-819.9999999999999
626,Manelli Impresa,Italy,Construction,52.36,43355980,12259540,173,55,2008,-214.54545454545456
627,SA Formação,Portugal,Education,52.34,3647652,1031733,53,22,2009,-140.9090909090909
628,SM SektManufaktur,Germany,Industrial Goods,52.31,2408586,681652,14,3,2015,-366.66666666666663
629,Beauty Consult Deutschland,Germany,Health,52.28,3725665,1055100,31,8,2011,-287.5
630,Finauto,Italy,Automobiles,52.1,11789870,3350270,8,5,1977,-60.0
631,AuCOFFRE.com,France,Financial Services,52.07,114037838,32428296,21,18,2009,-16.666666666666664
632,Divido,UK,Fintech,52.06,3786036,1084616,46,37,2014,-24.324324324324326
633,R&K Ingenieure,Germany,Construction,52.05,5210500,1482100,17,6,2016,-183.33333333333331
634,Nephos Technologies,UK,Technology,52.04,17559447,5031697,25,11,2011,-127.27272727272727
635,La Vida,UK,Support Services,51.84,7572128,2178629,15,8,2002,-87.5
636,Midstream Lighting,UK,Technology,51.78,8204844,2363526,12,4,2012,-200.0
638,Additius Santa Maria,Spain,Agricultural Commodities,51.68,31757362,9100083,30,25,2012,-20.0
639,CONEXIO TELECOM,France,Telecoms,51.67,1908640,547084,15,3,2017,-400.0
640,Tripin,Germany,Retail,51.6,5465080,1568506,9,5,2012,-80.0
641,Continental Wood Kft.,Hungary,Industrial Goods,51.43,2724073,910973,9,4,1996,-125.0
